"id_client","service_sauvegarde","service_antivirus","service_assurance","service_streaming_film","service_streaming_tv","service_support"
"YGXVR96889","Yes","No","Yes","No","Yes","No"
"DOJGF92862","No","No","No","No","No","No"
"KERXL69946","No","No","No","Yes","No","No"
"UAESM21813","No","Yes","Yes","No","No","No"
"GVYNH43124","No","Yes","Yes","Yes","No","Yes"
"KZNFB24955","No","Yes","No","Yes","No","No"
"NHWMM43679","No","No","No","No","No","No"
"KASCD88988","No","No","Yes","No","No","Yes"
"NCFVO80164","Yes","Yes","Yes","Yes","Yes","Yes"
"PHJYZ45789","Yes","No","Yes","No","Yes","Yes"
"MJTFX20912","No","No","No","Yes","Yes","Yes"
"DJJDL22777","No","No","No","Yes","Yes","Yes"
"MORQY25119","No","No","Yes","No","No","No"
"GJRDG27315","No","Yes","Yes","Yes","Yes","Yes"
"EZDKJ17844","Yes","No","Yes","Yes","Yes","No"
"SJFLM24688","No","No","No","No","No","Yes"
"XPXHZ87085","No","No","No","Yes","Yes","No"
"WZHJF06014","No","No","No","Yes","Yes","No"
"WYDOU46839","No","No","Yes","Yes","Yes","Yes"
"ZBDRN09634","No","No","No","Yes","Yes","Yes"
"JTKJF48716","No","No","No","No","No","No"
"TETGO71733","No","Yes","No","No","No","No"
"ORFCL41937","No","No","No","No","No","No"
"UAPKZ23696","Yes","No","Yes","Yes","Yes","No"
"QLVZB51935","Yes","No","Yes","Yes","Yes","No"
"DJQHR03799","Yes","Yes","Yes","Yes","Yes","No"
"FWVFY46576","Yes","No","Yes","No","Yes","No"
"EJQEG06232","No","Yes","No","Yes","No","Yes"
"UYKBC45014","No","No","Yes","Yes","No","Yes"
"WPEZG81588","Yes","No","No","No","No","Yes"
"EQMWY97325","Yes","No","Yes","Yes","Yes","No"
"BTKWT10999","No","Yes","Yes","Yes","Yes","No"
"UTSLV64075","Yes","No","No","No","Yes","No"
"NYROU00186","No","No","No","No","No","No"
"XJMEX46321","Yes","Yes","No","No","No","Yes"
"PHXTF14092","Yes","No","Yes","Yes","Yes","Yes"
"TNIQA82291","No","No","No","No","No","No"
"ONKER05299","No","No","No","No","No","No"
"CGXFK44845","No","No","No","Yes","No","No"
"DLSHD42802","Yes","No","Yes","No","No","No"
"AGZNL93003","No","No","No","Yes","Yes","No"
"CZANW27898","Yes","Yes","No","Yes","Yes","Yes"
"EWTRS72167","No","No","Yes","Yes","Yes","No"
"KAZHE44684","Yes","No","No","Yes","No","No"
"ULFNQ86239","No","No","No","Yes","No","Yes"
"WZPGV93173","No","No","No","Yes","No","No"
"YRTDV89473","Yes","Yes","Yes","Yes","No","No"
"SBTRN80713","Yes","Yes","Yes","Yes","Yes","No"
"MLJPN47016","No","No","Yes","No","No","Yes"
"WNWPJ12051","No","No","No","No","Yes","Yes"
"HDPXZ61582","No","No","No","No","No","No"
"VLCTZ66836","No","No","Yes","Yes","Yes","No"
"OWVYD37271","Yes","Yes","Yes","No","No","No"
