id_client,mariee,retraite,a_charge,genre,facture_mensuelle,telephone,plusieurs_numeros,internet,total_factures,contrat,facture_par_mail,type_de_paiement,client_depuis_mois,sortie_client
BRBUU70105,1,0,1,H,24.100,Oui,Yes,Non,1734.650,Two year,0,Credit card (automatic),72,No
YGXVR96889,0,0,0,F,88.150,Oui,No,Fibre,3973.200,Month-to-month,1,Credit card (automatic),44,No
DOJGF92862,1,1,0,F,74.950,Oui,Yes,Fibre,2869.850,Month-to-month,1,Bank transfer (automatic),38,Yes
KERXL69946,0,0,0,H,55.900,Oui,No,ADSL,238.500,Month-to-month,1,Electronic check,4,No
UAESM21813,0,0,0,H,53.450,Oui,No,ADSL,119.500,Month-to-month,0,Electronic check,2,No
GVYNH43124,1,0,0,F,49.850,Non,No phone service,ADSL,3370.200,Two year,1,Bank transfer (automatic),70,No
KZNFB24955,0,0,0,F,90.650,Oui,Yes,Fibre,2989.600,Month-to-month,1,Electronic check,33,No
NHWMM43679,0,0,0,F,24.900,Non,No phone service,ADSL,24.900,Month-to-month,1,Mailed check,1,No
KASCD88988,0,0,0,H,35.550,Non,No phone service,ADSL,1309.150,One year,0,Mailed check,39,No
NCFVO80164,0,1,0,H,116.500,Oui,Yes,Fibre,6382.550,Month-to-month,1,Electronic check,55,No
PHJYZ45789,1,0,1,H,68.750,Oui,No,ADSL,3482.850,One year,1,Electronic check,52,No
MJTFX20912,1,0,1,F,51.200,Non,No phone service,ADSL,1561.500,Month-to-month,0,Credit card (automatic),30,Yes
DJJDL22777,1,1,0,H,99.000,Oui,Yes,Fibre,6017.900,Month-to-month,1,Electronic check,60,No
MORQY25119,1,0,1,H,54.900,Oui,Yes,ADSL,2614.100,One year,0,Bank transfer (automatic),50,No
GJRDG27315,0,0,0,F,109.550,Oui,Yes,Fibre,3608.000,One year,1,Bank transfer (automatic),32,No
EZDKJ17844,1,0,0,H,106.800,Oui,Yes,Fibre,5498.800,One year,1,Bank transfer (automatic),51,No
SJFLM24688,0,0,0,H,74.300,Oui,No,Fibre,74.300,Month-to-month,1,Mailed check,1,No
SQAAU51151,1,0,1,F,25.600,Oui,Yes,Non,1673.400,Two year,1,Bank transfer (automatic),69,No
XPXHZ87085,1,0,1,F,94.200,Oui,Yes,Fibre,4186.300,Month-to-month,1,Electronic check,42,Yes
WZHJF06014,1,0,0,H,46.350,Non,No phone service,ADSL,667.700,Month-to-month,0,Electronic check,14,Yes
TXOAK04631,0,0,1,H,25.600,Oui,Yes,Non,1334.500,Two year,0,Credit card (automatic),52,No
WYDOU46839,1,0,0,H,107.600,Oui,Yes,Fibre,6912.700,Two year,1,Bank transfer (automatic),62,No
PQLGG11667,1,0,1,F,19.550,Oui,No,Non,1463.450,Two year,0,Bank transfer (automatic),72,No
ZBDRN09634,0,0,0,H,96.200,Oui,No,Fibre,3183.400,Month-to-month,1,Electronic check,32,Yes
JTKJF48716,0,1,0,F,69.650,Oui,No,Fibre,69.650,Month-to-month,1,Electronic check,1,Yes
TETGO71733,1,1,0,F,78.500,Oui,Yes,Fibre,5602.250,Two year,0,Bank transfer (automatic),72,No
ORFCL41937,0,1,0,F,45.100,Oui,No,ADSL,45.100,Month-to-month,0,Mailed check,1,Yes
PFYTJ26922,0,0,0,F,25.750,Oui,Yes,Non,25.750,Month-to-month,1,Mailed check,1,No
UAPKZ23696,0,0,0,H,104.100,Oui,Yes,Fibre,541.900,Month-to-month,0,Mailed check,5,Yes
QLVZB51935,0,0,0,H,104.750,Oui,Yes,Fibre,6536.500,Two year,1,Bank transfer (automatic),63,No
DJQHR03799,1,0,1,H,81.350,Oui,No,ADSL,5398.600,Two year,0,Credit card (automatic),67,No
FWVFY46576,1,0,1,F,96.350,Oui,Yes,Fibre,3915.400,Month-to-month,1,Credit card (automatic),40,No
EJQEG06232,0,0,0,H,93.550,Oui,Yes,Fibre,6069.250,One year,0,Electronic check,65,No
TLDLZ16997,1,0,1,F,19.700,Oui,No,Non,301.550,Two year,0,Mailed check,16,No
UYKBC45014,0,1,0,F,69.100,Oui,Yes,ADSL,3255.350,One year,1,Credit card (automatic),46,No
WPEZG81588,0,0,0,H,35.650,Non,No phone service,ADSL,425.100,Month-to-month,1,Electronic check,11,No
EQMWY97325,1,0,0,F,99.400,Oui,No,Fibre,5025.000,Month-to-month,0,Electronic check,49,No
BTKWT10999,1,0,0,F,54.400,Non,No phone service,ADSL,3723.650,One year,1,Electronic check,68,No
TUMEQ48156,0,0,0,F,19.300,Oui,No,Non,185.200,One year,1,Mailed check,10,No
UTSLV64075,0,1,0,F,83.800,Oui,No,Fibre,163.700,Month-to-month,1,Bank transfer (automatic),2,No
NYROU00186,1,0,0,F,68.950,Oui,No,Fibre,351.500,Month-to-month,1,Electronic check,5,No
XJMEX46321,0,0,1,H,62.850,Oui,No,ADSL,3419.500,One year,0,Credit card (automatic),53,No
